frame,definition,example
f:Reveal_secret,"A <em>Speaker</em> reveals <em>Information</em> that was previously secret to an <em>Addressee</em>. In some cases, the <em>Addressee</em> is expected to keep the <em>Information</em> from other parties. The <em>Information</em> may be damaging to the reputation of the <em>Speaker</em>.",<p class='list-group-item'>Could it be true that Martin himself was  the one who  <span id='phrase_example'>spilled</span> the <span id='phrase_example'>beans</span>  on Pops and Brad's planned wedding ?</p>
f:Execute_plan,"An <em>Agent</em> acts according to a <em>Plan</em>, carrying it out (or taking steps to carry it out). In some cases, the <em>Agent</em> is a focal participant in the <em>Plan</em>, although a separate <em>Focal participant</em> may also be mentioned. The <em>Plan</em> may be specified for the <em>Duration</em> for which it is in effect.",<p class='list-group-item'>Channing House  has recently <span id='phrase_example'>implemented</span>  a new dining program for residents on pureed diets .</p><p class='list-group-item'>Health authorities say  they  have put  measures  into <span id='phrase_example'>effect</span>  in all ports of entry and in centers of provinces .</p>
f:Sequence,Entities that occur in some temporally-ordered sequence.  The entities thus have some sort of relation between them.,<p class='list-group-item'>Describe in detail the <span id='phrase_example'>sequence</span>  of steps taken during an emergency .</p>
f:Change_of_leadership,"The appointment of a <em>New leader</em> or removal from office of an <em>Old leader</em>.  The <em>Selector</em> brings about the change in leadership, for example, by electing or overthrowing a leader. Some words with this definition describe the successful removal from office of a leader (e.g. depose, oust), others simply the attempt (e.g. uprising, rebellion).","<p class='list-group-item'>On March 17 ,  Mamedov  <span id='phrase_example'>appointed</span>  Rakhim Gasiyev   as Defence Minister  .</p>"
f:Path_shape,The ‘fictive’ motion of a stationary <em>Road</em>.Some of the targets cast the scene primarily in terms of the <em>Path shape</em>: Some of the words with this definition imply a <em>Source</em> or <em>Goal</em> which is expressed by a direct object: Other members refer to a <em>Direction</em>:Yet others indicate a <em>Path</em> which requires mention of a landmark:,<p class='list-group-item'>The otherwise arrow-straight highway  veers north and <span id='phrase_example'>skirts</span>  the lake .</p><p class='list-group-item'>Then  the path  <span id='phrase_example'>bears</span>  a little to the right .</p><p class='list-group-item'> The path <span id='phrase_example'>entered</span> the garden  on the west side .</p><p class='list-group-item'> The long mountain road <span id='phrase_example'>meandered</span> through the woods .</p>
f:Filling,"These are words relating to filling containers and covering areas with some thing, things or substance, the <em>Theme</em>. The area or container can appear as the direct object with all these verbs, and is designated <em>Goal</em> because it is the goal of motion of the <em>Theme</em>. Corresponding to its nuclear argument status, it is also affected in some crucial way.",<p class='list-group-item'>Lionel Hutz <span id='phrase_example'>coated</span> the wall  with paint .</p>
f:Reparation,"The process of making amends for some (wrongful) action (the <em>Injury</em>) committed by the <em>Wrongdoer</em>.  In this process, in order to appease the <em>Injured party</em> or to follow laws or customs, the <em>Wrongdoer</em> performs some <em>Benefiting action</em> for the <em>Injured party</em> or gives the <em>Injured party</em> some <em>Gift</em>.",<p class='list-group-item'>The tribesmen  tried to make <span id='phrase_example'>amends</span>  to us   with handfuls of their most precious seashells .</p><p class='list-group-item'>Sinn Fein said that  the marchers  had to make <span id='phrase_example'>restitution</span>  to the Catholics   for the disruption and violence .</p><p class='list-group-item'> I  will <span id='phrase_example'>make</span>  it  <span id='phrase_example'>up</span>  to you .</p>
f:Attention,"A <em>Perceiver</em>'s state of readiness to process and consider impressions of a <em>Figure</em> within a <em>Ground</em>.  It is often unknown to the <em>Perceiver</em> whether or not the <em>Figure</em> exists within the <em>Ground</em>. Alternatively, the <em>Expressor</em> may be expressed as showing signs of the <em>Perceiver</em>'s state of attentiveness.","<p class='list-group-item'>They demand an <span id='phrase_example'>attentive</span>  gaze , a careful accounting of parts.</p><p class='list-group-item'>Legislator tells  consumers  to <ment>be</ment> <span id='phrase_example'>alert</span>  to dioxin levels .</p>"
f:Measurable_attributes,An <em>Entity</em> has a particular scalar <em>Attribute</em> with a value exceeding a contextually-specified or generally-understood standard.,"<p class='list-group-item'>After his back injury, he won't lift <span id='phrase_example'>heavy</span>  boxes .</p><p class='list-group-item'> That ladder  is  really  <span id='phrase_example'>tall</span>.</p>"
f:Daring,"An <em>Agent</em> performs some <em>Action</em> which is considered imprudent. The danger that the <em>Agent</em> puts themselves in by performing the <em>Action</em> is profiled.  The danger is not spelled out, but generally the <em>Action</em> has a possibility or likelihood of causing social or physical harm to the <em>Agent</em>.",<p class='list-group-item'>I <span id='phrase_example'>risked</span> taking another look .</p>
f:People,"General words for Individuals, i.e. humans. The <em>Person</em> is conceived of as independent of other specific individuals with whom they have relationships and independent of their participation in any particular activity. They may have an <em>Age</em>, <em>Descriptor</em>, <em>Origin</em>, <em>Persistent characteristic</em>, or <em>Ethnicity</em>.",<p class='list-group-item'>I always thought of him as a  stupid  <span id='phrase_example'>man</span>.</p><p class='list-group-item'> She comforted the  terrified  <span id='phrase_example'>child</span>.</p><p class='list-group-item'> I am dating an  African-American  <span id='phrase_example'>man</span>.</p><p class='list-group-item'> I study  16-year-old   female  <span id='phrase_example'>adolescents</span>.</p><p class='list-group-item'> She gave birth to a  screaming  <span id='phrase_example'>baby</span>yesterday.</p><p class='list-group-item'> A <span id='phrase_example'>man</span>  from Phoenix  was shot yesterday.</p>
f:Commutative_process,"A commutative operation of arithmetic, e.g. addition and multiplication, involving two numbers, labeled <em>Term1</em> and <em>Term2</em> or, collectively, <em>Terms</em>. When referencing the process, the numbers can be vague and are often omitted through indefinite null instantiation. There may also be a <em>Calculator</em> who applies the operation.",<p class='list-group-item'>Any kid knows <span id='phrase_example'>addition</span>.   </p><p class='list-group-item'><span id='phrase_example'>Add</span> three  to five .</p>
f:Gesture,"Non-verbal communication. Topic is not normally expressed with these words. This seems to be related to the absence of a verbal code in cases of gestural communication. Topic can be viewed as a partial characterization of a <em>Message</em>, but such partial characterization is either difficult or irrelevant in the absence of a verbal code.",<p class='list-group-item'>I <span id='phrase_example'>gestured</span> with my hand  for him to come over .</p>
f:Commitment,A <em>Speaker</em> makes a commitment to an <em>Addressee</em> to carry out some future action.  This may be an action desirable (as with promise) or not desirable (as with threaten) to the <em>Addressee</em>. Some of the words with this definition allow an <em>Addressee</em> to be expressed.Other words cannot normally occur with an <em>Addressee</em>.,<p class='list-group-item'>Kim <span id='phrase_example'>undertook</span> to finish the project by June .</p><p class='list-group-item'> You <span id='phrase_example'>promised</span> me  you'd come to my graduation .</p>
f:Emotion_directed,An <em>Experiencer</em> who is feeling or experiencing a particular emotional response to a <em>Stimulus</em> or about a <em>Topic</em>.  There can also be a <em>Circumstances</em> under which the response occurs or a <em>Reason</em> that the <em>Stimulus</em> evokes the particular response in the <em>Experiencer</em>.,<p class='list-group-item'>She flashed a <span id='phrase_example'>jubilant</span>  smile .</p><p class='list-group-item'> Franz  gets <span id='phrase_example'>infuriated</span>  at the thought of his ex-wife remarried .</p><p class='list-group-item'>The <span id='phrase_example'>furious</span>  parent  stormed into the office.</p><p class='list-group-item'> Mr. Whiskers  is <span id='phrase_example'>upset</span>  that there are no more cat treats .</p>
